com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
FRIENDS OF MIKE H,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00492231&tabIndex=3,Q1,S,P,Q,610 S BOULEVARD,TAMPA,FL,33606.00,NANCY H WATKINS,C00492231,2020.00,,,,,,,,,,,,,,,,,,,,,352.95,352.95,,4500.00,,,,,,,,,,,,,,,,,,,,,53000.00,,57500.00,,4500.00,382265.36,325118.31,,,43466.00,43555.00,,S2FL00193,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF MIKE LEE INC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00473827&tabIndex=3,Q1,S,P,Q,PO BOX 1537,SALT LAKE CITY,UT,84110.00,"DATWYLER, THOMAS",C00473827,2020.00,106642.00,30250.66,136892.66,130.00,,8500.00,,,145392.66,130.00,,,,,,,,,,,1353.37,146772.58,,82550.98,,,,26.55,,,,,,,,,,,,,,,,,,,82680.98,145262.66,82524.43,240488.24,304579.84,,,43466.00,43555.00,,S0UT00165,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF NANCY MACE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00549295&tabIndex=3,Q1,S,P,Q,295 SEVEN FARMS DRIVE SUITE C-186,CHARLESTON,SC,29492.00,"BACKER, DAN",C00549295,2020.00,,,,,,,,,,,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,,,,,,,,,,30.00,,30.00,4100.84,4070.84,,,43466.00,43555.00,,S4SC00281,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF NAOMI,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00672360&tabIndex=3,Q1,H,P,Q,2440 BROADWAY SUITE 115,NEW YORK,NY,10024.00,"HONG, LISA",C00672360,2020.00,,,,,,,,2885.49,2885.49,,,,,,,,,,,,,2885.49,,1850.49,,,,,,,,,,,,,,,,,,,,,,,1850.49,2885.49,1850.49,3255.88,4290.88,,,43466.00,43555.00,,H8NY10099,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF NAOMI,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00672360&tabIndex=3,TER,H,P,Q,2440 BROADWAY SUITE 115,NEW YORK,NY,10024.00,"HONG, LISA",C00672360,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4290.88,4290.88,,,43556.00,43572.00,,H8NY10099,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF NEAL DUNN,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00582304&tabIndex=3,Q1,H,P,Q,PO BOX 16088,PANAMA CITY,FL,32406.00,"CROSBY, CALEB",C00582304,2020.00,4750.00,,4750.00,,,8500.00,,,13250.00,,,,,,,,,,,,,23709.66,,49147.14,,,,10459.66,,,,,,,,,,,,,,,,,2200.00,,51347.14,13250.00,38687.48,386154.15,358516.67,296850.00,,43466.00,43555.00,,H6FL02208,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF NEIL COMBEE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00676502&tabIndex=3,Q1,H,P,Q,610 S. BOULEVARD,TAMPA,FL,33606.00,"WATKINS, NANCY H.",C00676502,2020.00,,,,,,,,,,,,,,,,,,,,,,34.59,,,,,,34.59,,,,,,,,,,,,,,,,,,,,,-34.59,87.52,122.11,,,43466.00,43555.00,,H8FL15222,,,,,,,,,,,,,,,,,,,,,
"FRIENDS OF NICK POLCE, LLC",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00659755&tabIndex=3,Q1,H,P,Q,PO BOX 491,LAKE GENEVA,WI,53147.00,STEPHEN M POLCE,C00659755,2020.00,,,,,,,,11286.00,11286.00,,,14512.00,,,,14512.00,,,,,,11286.00,,808.00,,,,,,,,,,,,,,,,,,,,,,,15321.00,11286.00,,4034.00,,,,43466.00,43554.00,,H8WI01149,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF NYANZA DAVIS MOORE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00694935&tabIndex=3,Q1,H,P,Q,11601 SHADOW CREEK PARKWAY SUITE 111-210,PEARLAND,TX,77584.00,"BLISS, REBECCA",C00694935,2020.00,27231.86,13666.50,40898.36,,,,,2617.81,43516.17,,,,,,,,,,,,,43516.17,,24932.89,,,,,,,,,,,,,,,,,,,,,,,24932.89,43516.17,24932.89,,18583.28,,,43466.00,43555.00,,H0TX22161,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF PAT TOOMEY,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00461046&tabIndex=3,Q1,S,P,Q,"228 S. WASHINGTON ST., SUITE 115",ALEXANDRIA,VA,22314.00,LISA LISKER,C00461046,2020.00,299767.50,68974.15,368741.65,,,119650.00,,,488391.65,,,,,,,,41527.86,,,,5353.28,536480.50,,169754.77,,,,1207.71,,,,,,,,,,,,,,,,,,,169754.77,488391.65,168547.06,1224884.25,1591609.98,,,43466.00,43555.00,,S4PA00121,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF PAUL DILKS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00675017&tabIndex=3,TER,H,P,T,10 NANCY LANE,TURNERSVILLE,NJ,8012.00,"PAWLAK, KENNETH",C00675017,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17,12.17,,,43466.00,43586.00,,H8NJ01259,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF PAUL HOLLIS LLC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00553636&tabIndex=3,Q1,S,P,Q,108 GRANDE MAISON BLVD,MANDEVILLE,LA,704718507.00,PAUL HOLLIS,C00553636,2020.00,,,,,,,,,,,,,,,,,,,,,,,,105.00,,,,,,,,,,,,,,,,,,,,,,,105.00,,105.00,160.00,55.00,231805.00,,43466.00,43555.00,,S4LA00131,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF PAUL MITCHELL,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00581090&tabIndex=3,Q1,H,P,Q,4068 HOUGH RD,DRYDEN,MI,484289781.00,"CHRISTENSEN, GLEN",C00581090,2020.00,25600.00,,25600.00,,,33500.00,,14000.00,73100.00,,10000.00,,,,10000.00,,,,,,0.54,83100.54,,31146.52,,,,,,,,,,,,,,,,,,,,,,,31146.52,73100.00,31146.52,29827.30,81781.32,524000.00,,43466.00,43555.00,,H4MI04118,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF PETER THERON,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00450353&tabIndex=3,Q1,H,P,Q,1021 SEQUOIA TRAIL,MADISON,WI,537132522.00,"BROOKS, CHRISTINE",C00450353,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2945.95,2945.95,9960.00,,43466.00,43555.00,,H8WI02121,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF PHIL JANOWICZ,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00638478&tabIndex=3,TER,H,P,T,PO BOX 6179,BUENA PARK,CA,906226179.00,"DAHL, DENNIS",C00638478,2020.00,-50.00,2.50,-47.50,,,,,177816.95,177769.45,,,180612.88,,,,180612.88,,,,,,177769.45,,189.03,,,,,,,,,,,,,,,,,,,,,,,180801.91,177769.45,189.03,3032.46,,,,43466.00,43493.00,,H8CA39133,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF RACHEL KINSEY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00697490&tabIndex=3,Q1,H,P,Q,127 DOCKSIDE DOWNS DRIVE,WOODSTOCK,GA,30189.00,"KINSEY, RACHEL",C00697490,2020.00,750.00,465.00,1215.00,,,,,,1215.00,,2000.00,,,,2000.00,,,,,,,3215.00,,,,,,,,,,,,,,,,,,,,,,,,,,1215.00,,,3215.00,2000.00,,43466.00,43555.00,,H0GA11028,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF RAJA FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00575092&tabIndex=3,Q1,H,P,Q,PO BOX 681202,SCHAUMBURG,IL,60168.00,"KRISHNAMOORTHI, VENKATESAN RAM",C00575092,2020.00,897537.00,19101.22,916638.22,2720.00,,139700.00,,798.56,1057136.78,2720.00,,,,,,,,,,,4057.61,1061774.74,,121256.39,,,,580.35,,,,,,,,,,,,,,,,,40000.00,,163976.39,1054416.78,120676.04,4276671.79,5174470.14,,,43466.00,43555.00,,H6IL08147,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF RAY LINSENMAYER,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00661066&tabIndex=3,TER,H,P,Q,PO BOX 512,WEXFORD,PA,15090.00,"HAMBURGER, DAVID",C00661066,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43374.00,43497.00,,H8PA12101,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF RD,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00637918&tabIndex=3,Q1,H,P,Q,PO BOX 1101,CHARLOTTESVILLE,VA,22902.00,"VOGEL, TARYN",C00637918,2020.00,,,,2653.33,,,,,,2653.33,,,,,,,,,,,,,,1127.75,,,,,,,,,,,,,,,,,,,,,,,3781.08,-2653.33,1127.75,7178.70,3397.62,,,43466.00,43555.00,,H8VA05114,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF RENEE HOAGENSON,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00636621&tabIndex=3,TER,H,P,T,PO BOX 10303,COLUMBIA,MO,65205.00,"DARROUGH, THOMAS",C00636621,2020.00,,,,,,,,,,,,,,,,,,,,,,41.23,,8018.50,,,,41.23,,,,,,,,,,,,,,,,,,,8018.50,,7977.27,7977.27,,,,43431.00,43487.00,,H8MO04071,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF RICK BOUCHER,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00178418&tabIndex=3,Q1,H,P,Q,P.O. BOX 1000,DAMASCUS,VA,24236.00,"BOUCHER, AMY",C00178418,2020.00,,,,,,,,,,,,,,,,,,,,,,,,162.00,,,,,,,,,,,,,,,,,,,,,2500.00,,2662.00,,162.00,106188.30,103526.30,,,43466.00,43555.00,,H2VA09010,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF RICK TREVINO,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00653915&tabIndex=3,Q1,H,P,Q,10809 WESTWOOD LOOP APT 852,SAN ANTONIO,TX,78254.00,"GARCIA, JOLEEN",C00653915,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17286.87,17286.87,3285.78,,43466.00,43555.00,,H8TX23139,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF RICK TREVINO,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00653915&tabIndex=3,Q3,H,P,Q,10809 WESTWOOD LOOP APT 852,SAN ANTONIO,TX,78254.00,"GARCIA, JOLEEN",C00653915,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17286.87,17286.87,3285.78,,43647.00,43738.00,,H8TX23139,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF ROGER REYNOLDS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00587931&tabIndex=3,Q1,H,P,Q,6724 CHERRY LAUREL DR,LIBERTY TOWNSHIP,OH,45044.00,"JESSE, JED",C00587931,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44703.99,44703.99,70000.00,,43466.00,43555.00,,H6OH08133,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF ROSA DELAURO,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00238865&tabIndex=3,Q1,H,P,Q,"129 CHURCH ST, STE 818",NEW HAVEN,CT,6510.00,"CHARMEL, PATRICK",C00238865,2020.00,124183.00,9354.95,133537.95,,,69050.00,,,202587.95,,,,,,,,,,,,,202587.95,,77708.72,,,,,,,,,,,,,,,,,,,,,2640.00,,80348.72,202587.95,77708.72,16363.94,138603.17,,,43466.00,43555.00,,H0CT03072,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF ROY BLUNT,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00304758&tabIndex=3,Q1,S,P,Q,PO BOX 10178,COLUMBIA,MO,65205.00,GORDON A. ELLIOTT,C00304758,2020.00,123795.00,10605.50,134400.50,,,30800.00,2500.00,,165200.50,2500.00,,,,,,,,,,,9878.86,178347.58,,108911.98,,,,3268.22,,,,,,,,,,,,,,,,,,,111411.98,162700.50,105643.76,698697.00,765632.60,,,43466.00,43555.00,,S0MO00183,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF ROY CHO INC.,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00544007&tabIndex=3,Q1,H,P,Q,P.O. BOX 247,HACKENSACK,NJ,7602.00,"WEXLER, DIANE L MS.",C00544007,2020.00,150.00,,150.00,,,,,,150.00,,,,,,,,,,,,,150.00,,150.00,,,,,,,,,,,,,,,,,,,,,,,150.00,150.00,150.00,1500.63,1500.63,43164.85,,43466.00,43555.00,,H4NJ05135,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF SARA IDLEMAN,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00664391&tabIndex=3,TER,H,P,T,30 ACADEMY STREET,GREENWICH,NY,128340001.00,"BARBER, PATRICK",C00664391,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.00,,,,,,,,3500.00,,,3504.00,4.00,,,43191.00,43524.00,,H8NY21328,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF SCHUMER,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00346312&tabIndex=3,Q1,S,P,Q,192 LEXINGTON AVENUE SUITE 1001,NEW YORK,NY,10016.00,"DIMAS, CONSTANTINE",C00346312,2020.00,9411.50,17937.50,27349.00,1262.50,,15000.00,,,42349.00,1262.50,,,,,,,,,,,37841.28,80190.28,,188883.44,,,,,,,,,,,,,,,,,,,,,89774.61,,279920.55,41086.50,188883.44,9464715.18,9264984.91,,,43466.00,43555.00,,S8NY00082,,,,,,,,,,,,,,,,,,,,,
"FRIENDS OF SCOTT ANGELLE, LLC",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00611145&tabIndex=3,Q1,H,P,Q,P.O. BOX 1385,BREAUX BRIDGE,LA,70517.00,"ANGELLE, JENNIFER MS.",C00611145,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.11,149.11,32450.00,,43466.00,43555.00,,H6LA03130,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF SCOTT DESJARLAIS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00464073&tabIndex=3,Q1,H,P,Q,95 WHITE BRIDGE RD SUITE 207,NASHVILLE,TN,372051482.00,"BREWER, TROY MR.",C00464073,2020.00,86224.00,50.00,86274.00,,,1500.00,,,87774.00,,,,,,,,,,,,,87774.00,,17611.98,,,,,,,,,,,,,,,,,,,,,,,17611.98,87774.00,17611.98,363684.36,433846.38,,,43466.00,43555.00,,H0TN04195,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF SESSIONS SENATE COMMITTEE INC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00306704&tabIndex=3,Q1,S,P,Q,3350 BOXWOOD DRIVE,MONTGOMERY,AL,36111.00,ANITA BARRERA,C00306704,2020.00,,,,,,,,,,,,,,,,,,,,,14412.00,14412.00,,7896.00,,,,,,,,,,,,,,,,,,,,,,,7896.00,,7896.00,2495459.00,2501975.00,,,43466.00,43555.00,,S6AL00195,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF SHAK HILL,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00546705&tabIndex=3,Q1,S,P,Q,PO BOX 486,CENTREVILLE,VA,20122.00,ROBIN HILL,C00546705,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083.11,1083.11,116838.38,,43466.00,43555.00,,S4VA00148,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF SHERROD BROWN,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00264697&tabIndex=3,Q1,S,P,Q,PO BOX 15293,WASHINGTON,DC,20003.00,"ZAMORE, JUDITH",C00264697,2020.00,90015.84,133942.33,223958.17,2964.23,,27500.00,,,251458.17,2964.23,,,,,,,,,,,598.14,254986.63,,372478.02,,,,2930.32,,,,,,,,,,,,,,,,,49925.23,,425367.48,248493.94,369547.70,1371245.26,1200864.41,,,43466.00,43555.00,,S6OH00163,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF SIMITIAN,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00458117&tabIndex=3,Q1,H,P,Q,726 GREER ROAD,PALO ALTO,CA,94303.00,"JEROME, JULIE S.",C00458117,2020.00,,,,,,,,,,,,,,,,,,,,,499.63,499.63,,562.09,,,,,,,,,,,,,,,,,,,,,,,562.09,,562.09,444494.79,444432.33,,,43466.00,43555.00,,H0CA15171,,,,,,,,,,,,,,,,,,,,,
"FRIENDS OF STEPHEN K. SIMPSON, INC.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00504175&tabIndex=3,Q1,H,P,Q,P O BOX 1960,MILLEDGEVILLE,GA,31059.00,"BROWN, STEPHEN",C00504175,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43466.00,43555.00,,H2GA10117,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF STEVE BROWN,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00661579&tabIndex=3,Q1,H,P,Q,2700 LAKE OLYMPIA PARKWAY,MISSOURI CITY,TX,77459.00,STEPHEN KEITH BROWN,C00661579,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813.10,1813.10,33138.00,,43466.00,43555.00,,H8TX22263,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF STEVE NEGRON,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00657981&tabIndex=3,Q1,H,P,Q,PO BOX 26141,ALEXANDRIA,VA,22313.00,"MARSTON, CHRIS",C00657981,2020.00,16429.00,2471.00,18900.00,,,,,550.00,19450.00,,4000.00,,,,4000.00,,,,,,,23450.00,,12365.58,,,,,,,,,,,,,,,,,,,,,,,12365.58,19450.00,12365.58,6994.86,18079.28,241299.05,,43466.00,43555.00,,H8NH02275,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF STEVEN WELCH,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00463653&tabIndex=3,Q1,S,P,Q,10 GREAT WOODS LANE,MALVERN,PA,19355.00,ALEX BARNA,C00463653,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.11,26.11,250000.00,,43466.00,43555.00,,S2PA00232,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF SUSAN BOSER,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00670364&tabIndex=3,Q1,H,P,Q,830 WHITE FARM RD.,INDIANA,PA,15701.00,"BRADY, DAVID",C00670364,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1176.74,-1176.74,26505.31,,43466.00,43555.00,,H8PA09065,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF SUSAN BROOKS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00500207&tabIndex=3,Q1,H,P,Q,9425 N MERIDIAN ST # 237,INDIANAPOLIS,IN,462601308.00,"CHRISTOFOLIS, JUDITH A. MRS.",C00500207,2020.00,52782.53,1825.00,54607.53,500.00,,105504.56,,,160112.09,500.00,,,,,,,,,,,,161244.62,,79529.66,,,,1132.53,,,,,,,,,,,,,,,,,1000.00,,81029.66,159612.09,78397.13,864925.84,945140.80,,,43466.00,43555.00,,H2IN05082,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF TARRYL CLARK 2012,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00496513&tabIndex=3,Q1,H,P,Q,807 BROADWAY STREET NE #125,MINNEAPOLIS,MN,55413.00,"GROEN, REBECCA",C00496513,2020.00,,,,,,,,,,,,,,,,,,,,,,,,53.85,,,,,,,,,,,,,,,,,,,,,,,53.85,,53.85,23340.23,23286.38,,,43466.00,43555.00,,H0MN06127,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF TIBERI,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00347492&tabIndex=3,Q1,H,P,Q,5581 PRESWICK DR,DUBLIN,OH,430177619.00,"FRISSORA, KRISTEN",C00347492,2020.00,,,,,,,,,,,,,,,,,,,,,35217.12,35253.12,,18705.78,,,,36.00,,,,,,,,,,,,,,,,,11000.00,,29705.78,,18669.78,5057412.01,5062959.35,,,43466.00,43555.00,,H0OH12062,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF TIM HARRIS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00637777&tabIndex=3,TER,H,P,T,3701 S HARVARD AVE #345,TULSA,OK,741352282.00,DAVID E WULF,C00637777,2020.00,,,,,,,,,,,,9700.26,,,,9700.26,,,,,,,,259.19,,,,,,,,,,,,,,,,,,,,,207.43,,10166.88,,259.19,10166.88,,,,43466.00,43555.00,,H8OK01165,,,,,,,,,,,,,,,,,,,,,
"FRIENDS OF TODD YOUNG, INC.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00459255&tabIndex=3,Q1,S,P,Q,PO BOX 3743,CARMEL,IN,46082.00,"SHISHMAN, SCOTT",C00459255,2020.00,86587.18,7735.00,94322.18,,,27000.00,,,121322.18,,,,,,,,75693.70,,,,,197015.88,,79394.98,,,,,,,,,,,,,,,,,,,,,,,79394.98,121322.18,79394.98,291136.10,408757.00,,,43466.00,43555.00,,S6IN00191,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF TOM BYRNE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00347591&tabIndex=3,Q1,S,P,Q,101 HUN ROAD,PRINCETON,NJ,8540.00,DAVID H PIKUS,C00347591,2020.00,,,,,,,,,,,,,,,,,,,,,9683.00,9683.00,,39.00,,,,,,,,,,,,,,,,,,,,,,,39.00,,39.00,1336238.00,1345883.00,690000.00,,43466.00,43555.00,,S0NJ00068,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF TOM HARRISON,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00684621&tabIndex=3,Q1,H,A,Q,15011 FORSYTHE RD,OREGON CITY,OR,97045.00,"HARRISON, THOMAS S IV",C00684621,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43466.00,43555.00,,H8OR03102,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF TRAMM HUDSON,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00412387&tabIndex=3,TER,H,P,T,POST OFFICE BOX 2575,SARASOTA,FL,34230.00,DEBRA COOPER,C00412387,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.15,1036.15,178232.26,,43466.00,43496.00,,H6FL13114,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF VANGIE WILLIAMS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00632059&tabIndex=3,Q1,H,P,Q,P.O. BOX 7572,FREDERICKSBURG,VA,22401.00,"BULLOCK, STACY MS.",C00632059,2020.00,11395.00,10966.00,22361.00,,,,,,22361.00,,,,,,,,,,,,,22361.00,,11441.24,,,,,,,,,,,,,,,,,,,,,,,11441.24,22361.00,11441.24,3388.50,14308.26,4185.49,,43466.00,43555.00,,H8VA01303,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF VENNIA FRANCOIS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00665653&tabIndex=3,Q1,H,P,Q,610 S. BOULEVARD,TAMPA,FL,33606.00,"WATKINS, NANCY H.",C00665653,2020.00,,,,,,,,,,,,,,,,,,,,,,,,4748.96,,,,,,,,,,,,,,,,,,,,,,,4748.96,,4748.96,6660.84,1911.88,,,43466.00,43555.00,,H8FL07088,,,,,,,,,,,,,,,,,,,,,
